Mes ;Ano  ; Media
12  ;2010 ; 10.64
01  ;2011 ; 11.14
02  ;2011 ; 11.15
03  ;2011 ; 11.66
04  ;2011 ; 11.89
05  ;2011 ; 11.85
06  ;2011 ; 12.15
07  ;2011 ; 12.4
08  ;2011 ; 12.39
09  ;2011 ; 11.88
10  ;2011 ; 11.39
11  ;2011 ; 11.36
12  ;2011 ; 10.87
01  ;2012 ; 10.31
02  ;2012 ; 10.28
03  ;2012 ; 9.52
04  ;2012 ; 8.7
05  ;2012 ; 8.33
06  ;2012 ; 8.36
07  ;2012 ; 7.83
08  ;2012 ; 7.38
09  ;2012 ; 7.36
10  ;2012 ; 7.09
11  ;2012 ; 7.06
12  ;2012 ; 6.9
01  ;2013 ; 6.95
02  ;2013 ; 6.98
03  ;2013 ; 7.01
04  ;2013 ; 7.23
05  ;2013 ; 7.72
06  ;2013 ; 7.72
07  ;2013 ; 8.22
08  ;2013 ; 8.72
09  ;2013 ; 8.71
10  ;2013 ; 9.32
11  ;2013 ; 9.77
12  ;2013 ; 9.77
01  ;2014 ; 10.27
02  ;2014 ; 10.59
03  ;2014 ; 10.55
04  ;2014 ; 10.8
05  ;2014 ; 10.8
06  ;2014 ; 10.8
07  ;2014 ; 10.8
08  ;2014 ; 10.84
09  ;2014 ; 10.81
10  ;2014 ; 11.06
11  ;2014 ; 11.06
12  ;2014 ; 11.57
01  ;2015 ; 12.08
02  ;2015 ; 12.09
03  ;2015 ; 12.6
04  ;2015 ; 13.11
05  ;2015 ; 13.13
06  ;2015 ; 13.64
07  ;2015 ; 14.13
08  ;2015 ; 14.13
09  ;2015 ; 14.13
10  ;2015 ; 14.14
11  ;2015 ; 14.14
12  ;2015 ; 14.14
01  ;2016 ; 14.13
02  ;2016 ; 14.13
03  ;2016 ; 14.13
04  ;2016 ; 14.13
05  ;2016 ; 14.13
06  ;2016 ; 14.13
07  ;2016 ; 14.13
08  ;2016 ; 14.13
09  ;2016 ; 14.13
10  ;2016 ; 13.88
11  ;2016 ; 13.88
12  ;2016 ; 13.63
01  ;2017 ; 12.88
02  ;2017 ; 12.13
03  ;2017 ; 12.13
04  ;2017 ; 11.13
05  ;2017 ; 11.13
06  ;2017 ; 10.14
07  ;2017 ; 9.14
08  ;2017 ; 9.14
09  ;2017 ; 8.14
10  ;2017 ; 7.39
11  ;2017 ; 7.39
12  ;2017 ; 6.89
01  ;2018 ; 6.89
02  ;2018 ; 6.64
03  ;2018 ; 6.39
04  ;2018 ; 6.39
05  ;2018 ; 6.39
06  ;2018 ; 6.39
07  ;2018 ; 6.39
08  ;2018 ; 6.39
09  ;2018 ; 6.39
10  ;2018 ; 6.4
11  ;2018 ; 6.4
12  ;2018 ; 6.4
01  ;2019 ; 6.4
02  ;2019 ; 6.4
03  ;2019 ; 6.4
04  ;2019 ; 6.4
05  ;2019 ; 6.4
06  ;2019 ; 6.4
07  ;2019 ; 6.4
08  ;2019 ; 5.9
09  ;2019 ; 5.4
10  ;2019 ; 4.9
11  ;2019 ; 4.9
12  ;2019 ; 4.4
01  ;2020 ; 4.4
02  ;2020 ; 4.15
03  ;2020 ; 3.65
04  ;2020 ; 3.65
05  ;2020 ; 2.9
06  ;2020 ; 2.15
07  ;2020 ; 2.15
08  ;2020 ; 1.9
09  ;2020 ; 1.9
10  ;2020 ; 1.9
11  ;2020 ; 1.9
12  ;2020 ; 1.9