Mes,Ano,Valor
12,2010,69304.81
01,2011,66574.88
02,2011,67383.22
03,2011,68586.70
04,2011,66132.86
05,2011,64620.08
06,2011,62403.64
07,2011,58823.45
08,2011,56495.12
09,2011,52324.42
10,2011,58338.39
11,2011,56874.98
12,2011,56754.08
01,2012,63072.31
02,2012,65811.73
03,2012,64510.97
04,2012,61820.26
05,2012,54490.41
06,2012,54354.63
07,2012,56097.05
08,2012,57061.45
09,2012,59175.80
10,2012,57068.18
11,2012,57474.57
12,2012,60952.08
01,2013,59761.49
02,2013,57424.29
03,2013,56352.09
04,2013,55910.37
05,2013,53506.08
06,2013,47457.13
07,2013,48234.49
08,2013,50011.75
09,2013,52338.19
10,2013,54256.20
11,2013,52482.49
12,2013,51507.16
01,2014,47638.99
02,2014,47094.40
03,2014,50414.92
04,2014,51626.69
05,2014,51239.34
06,2014,53168.22
07,2014,55829.41
08,2014,61288.15
09,2014,54115.98
10,2014,54628.60
11,2014,54724.00
12,2014,50007.41
01,2015,46907.68
02,2015,51583.09
03,2015,51150.16
04,2015,56229.38
05,2015,52760.47
06,2015,53080.88
07,2015,50864.77
08,2015,46625.52
09,2015,45059.34
10,2015,45868.81
11,2015,45120.36
12,2015,43349.96
01,2016,40405.99
02,2016,42793.86
03,2016,50055.27
04,2016,53910.50
05,2016,48471.70
06,2016,51526.92
07,2016,57308.20
08,2016,57901.10
09,2016,58367.04
10,2016,64924.51
11,2016,61906.35
12,2016,60227.28
01,2017,64670.78
02,2017,66662.10
03,2017,64984.06
04,2017,65403.24
05,2017,62711.47
06,2017,62899.97
07,2017,65920.36
08,2017,70835.05
09,2017,74293.50
10,2017,74308.49
11,2017,71970.99
12,2017,76402.08
01,2018,84912.70
02,2018,85353.60
03,2018,85365.56
04,2018,86115.50
05,2018,76753.61
06,2018,72762.52
07,2018,79220.44
08,2018,76677.53
09,2018,79342.43
10,2018,87423.55
11,2018,89504.03
12,2018,87887.27
01,2019,97393.75
02,2019,95584.35
03,2019,95414.56
04,2019,96353.33
05,2019,97030.32
06,2019,100967.20
07,2019,101812.13
08,2019,101134.61
09,2019,104745.32
10,2019,107219.83
11,2019,108233.28
12,2019,115645.34
01,2020,113760.57
02,2020,104171.57
03,2020,73019.76
04,2020,80505.89
05,2020,87402.59
06,2020,95055.82
07,2020,102912.24
08,2020,99369.15
09,2020,94603.38
10,2020,93952.40
11,2020,108893.32
12,2020,119017.24